timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1511210466353,199,HTTP Request Mailbox,200,OK,Grupa wątków 1-1,text,true,number found,26662,1124,8,8,41,0,0
1511210466872,276,HTTP Request Mailbox,200,OK,Grupa wątków 1-4,text,true,number not found,26662,1124,11,11,33,0,0
1511210466773,478,HTTP Request Mailbox,200,OK,Grupa wątków 1-3,text,true,number found,26662,1124,11,11,42,0,0
1511210466927,373,HTTP Request Mailbox,200,OK,Grupa wątków 1-2,text,true,number not found,26662,1124,11,11,125,0,0
1511210467207,205,HTTP Request Mailbox,200,OK,Grupa wątków 1-6,text,true,number found,26662,1124,12,12,38,0,0
1511210467283,213,HTTP Request Mailbox,200,OK,Grupa wątków 1-5,text,true,number found,26662,1124,13,13,42,0,0
1511210467649,332,HTTP Request Mailbox,200,OK,Grupa wątków 1-7,text,true,number found,26662,1124,10,10,36,0,0
1511210467767,245,HTTP Request Mailbox,200,OK,Grupa wątków 1-8,text,true,number found,26662,1124,11,11,30,0,0
1511210467994,218,HTTP Request Mailbox,200,OK,Grupa wątków 1-9,text,true,number found,26662,1124,12,12,28,0,0
1511210468115,183,HTTP Request Mailbox,200,OK,Grupa wątków 1-10,text,true,number not found,26662,1124,12,12,25,0,0
1511210468445,194,HTTP Request Mailbox,200,OK,Grupa wątków 1-12,text,true,number not found,26662,1124,11,11,25,0,0
1511210468560,188,HTTP Request Mailbox,200,OK,Grupa wątków 1-13,text,true,number found,26662,1124,11,11,30,0,0
1511210468817,429,HTTP Request Mailbox,200,OK,Grupa wątków 1-14,text,true,number found,26662,1124,12,12,37,0,0
1511210469123,304,HTTP Request Mailbox,200,OK,Grupa wątków 1-15,text,true,number not found,26662,1124,13,13,43,0,0
1511210469219,240,HTTP Request Mailbox,200,OK,Grupa wątków 1-16,text,true,number found,26662,1124,13,13,50,0,0
1511210469341,237,HTTP Request Mailbox,200,OK,Grupa wątków 1-17,text,true,number not found,26662,1124,13,13,44,0,0
1511210469382,433,HTTP Request Mailbox,200,OK,Grupa wątków 1-11,text,true,number found,26662,1002,11,11,76,0,42
1511210469692,202,HTTP Request Mailbox,200,OK,Grupa wątków 1-19,text,true,number not found,26662,1124,10,10,33,0,0
1511210469834,240,HTTP Request Mailbox,200,OK,Grupa wątków 1-20,text,true,number found,26662,1124,9,9,36,0,0
1511210470027,202,HTTP Request Mailbox,200,OK,Grupa wątków 1-21,text,true,number not found,26662,1124,8,8,29,0,0
1511210470127,204,HTTP Request Mailbox,200,OK,Grupa wątków 1-22,text,true,number found,26662,1124,7,7,32,0,0
1511210470400,212,HTTP Request Mailbox,200,OK,Grupa wątków 1-23,text,true,number found,26662,1124,5,5,27,0,0
1511210470246,431,HTTP Request Mailbox,200,OK,Grupa wątków 1-18,text,true,number not found,26662,1002,5,5,56,0,26
1511210470458,245,HTTP Request Mailbox,200,OK,Grupa wątków 1-24,text,true,number not found,26662,1124,4,4,26,0,0
1511210470631,165,HTTP Request Mailbox,200,OK,Grupa wątków 1-25,text,true,number found,26662,1124,4,4,34,0,0
